"term","estimate","std.error","statistic","p.value","conf.low","conf.high","significance","direction"
"partner_alcohol",6.63270701029039,0.0937826418661984,20.174447855122,1.64186862874968e-90,5.52490693181247,7.98039392949277,"***","Risk Factor"
"childhood_trauma",1.98205359386904,0.110794349882333,6.17480473116161,6.62452935961049e-10,1.5951628306083,2.46317433379668,"***","Risk Factor"
"education_high",0.751028556524414,0.092124005393207,-3.10789356208022,0.00188425916369805,0.626850552256795,0.899590624625721,"**","Protective Factor"
"marital_conflict",1.152279721425,0.0239938745423383,5.90743884594725,3.4746724891791e-09,1.09951798824262,1.20799590218265,"***","Risk Factor"
"wealth_high",0.915200407972235,0.0938942900545468,-0.943744422918224,0.345300267359269,0.760977378661543,1.09969053201459,"NS","Not Significant"
"community_patriarchy",1.07929196909857,0.0156383513246712,4.8793661425479,1.0642732607043e-06,1.04682213062949,1.11302471727058,"***","Risk Factor"
"legal_implementation",0.937653554765044,0.024624343934814,-2.61427240339923,0.00894177131745987,0.893358241553738,0.98392106134352,"**","Protective Factor"
"decision_power",0.956310474334383,0.0185842709439677,-2.40378838867141,0.0162261629192042,0.922010865493082,0.991711097097408,"*","Protective Factor"
"mental_health_score",0.983518502650087,0.0235043023428734,-0.707054734996444,0.479532463926551,0.939145179066304,1.02981989931411,"NS","Not Significant"
"communication_score",0.985356699420568,0.0200460611081895,-0.735883817411323,0.46180140633154,0.947363772345898,1.02483896311401,"NS","Not Significant"
"age_centered",0.998102700556622,0.00452361670849329,-0.419819299067585,0.674617465316227,0.989288725701873,1.00699333783292,"NS","Not Significant"
"distance_to_services",1.00103470133725,0.00348005404293331,0.297169638756245,0.766337000163688,0.994223198526305,1.00788365625922,"NS","Not Significant"
