"Sample_N","term","estimate","conf.low","conf.high","p.value"
"500","Partner Alcohol Use",7.75758822938373,4.86340289133812,12.5949430830948,2.76899246625187e-17
"500","Marital Conflict",1.25184848945788,1.11534518384728,1.40889156283114,0.000158410548548685
"500","Childhood Trauma",1.10472119092651,0.619015281910209,1.94417230153822,0.732321086618864
"500","Community Patriarchy",1.09654282548262,0.987544357014497,1.2188863457599,0.0853047184819929
"500","Mental Health Score",1.05923949223572,0.944752354893299,1.18877897784424,0.325018467410434
"500","Communication Score",1.05712792054437,0.957883574009577,1.16815233188681,0.27132887323505
"500","Higher Education",1.01369146395133,0.512166518289583,1.94519911250355,0.96800907942463
"500","Age (centred)",0.994178198656588,0.971902592099759,1.01689849513462,0.612257962989054
"500","Decision-Making Power",0.991832050062198,0.899251840869228,1.0936135807756,0.869210461996033
"500","Distance to Services",0.98470634892581,0.969809875967302,0.999415654960986,0.0440620309572626
"500","Legal Implementation",0.958743300166855,0.840740462627134,1.09093281643859,0.525150704047684
"500","Higher Wealth",0.7336455862955,0.453080202035257,1.17568054389325,0.201884869649587
"1000","Partner Alcohol Use",8.00232237665898,5.72271652395623,11.2955944309719,3.49086114655264e-33
"1000","Childhood Trauma",1.72296265226967,1.17622874151764,2.52227318731743,0.00512873036347245
"1000","Higher Education",1.41512593854379,0.90605947770684,2.18718638120723,0.121782235002193
"1000","Marital Conflict",1.19292856897576,1.09713631853568,1.29877983158912,4.07264344324395e-05
"1000","Community Patriarchy",1.11036813855629,1.04921899941278,1.17561041627043,0.000303862045943029
"1000","Mental Health Score",1.08883402306216,1.00412491793839,1.18100792018526,0.039541649630827
"1000","Distance to Services",0.992819099704259,0.982407275969927,1.00333345787885,0.179659358335626
"1000","Age (centred)",0.987791688545965,0.971583366786247,1.00417568793585,0.14406426455747
"1000","Legal Implementation",0.983827613442708,0.888575562935192,1.08934415169909,0.753454639236214
"1000","Communication Score",0.964898652798509,0.898537088382597,1.0359915816599,0.324577825377807
"1000","Decision-Making Power",0.928423870792445,0.865722481348182,0.994840221602887,0.0360353305888
"1000","Higher Wealth",0.611837582104952,0.435129099919155,0.854967531261673,0.00431256806608674
"3000","Partner Alcohol Use",6.58465258121708,5.4875036260977,7.91843556845714,2.6009585014171e-90
"3000","Childhood Trauma",1.98008422957672,1.59379757342384,2.46033930039489,6.82832953621898e-10
"3000","Marital Conflict",1.14998975380271,1.09742266796357,1.20548726892154,5.37411139483436e-09
"3000","Community Patriarchy",1.07905680444142,1.04666405636993,1.11270517257089,1.08127078310378e-06
"3000","Distance to Services",1.00080992686301,0.994022180023249,1.00763374608213,0.815433681179246
"3000","Age (centred)",0.997900096952145,0.989097044984818,1.00677860688695,0.641782938397326
"3000","Communication Score",0.98562850166366,0.947670619533325,1.02507179799125,0.469672343431253
"3000","Mental Health Score",0.982287291076731,0.938045823512453,1.02844412877554,0.446230873800045
"3000","Decision-Making Power",0.957175985411706,0.922696956082468,0.992764386727585,0.0190331119777824
"3000","Legal Implementation",0.938067247649374,0.893789243927172,0.984314367702294,0.00936100006607662
"3000","Higher Wealth",0.923556738759223,0.768144628681246,1.10944399850735,0.396329628898643
"3000","Higher Education",0.812091309587253,0.62061632897527,1.05558128116947,0.124201659829651
"5000","Partner Alcohol Use",5.52170125848543,4.78261739398596,6.38222521744635,2.9771996536166e-119
"5000","Childhood Trauma",2.14289644369958,1.80886519429148,2.53898627592005,1.21332626778642e-18
"5000","Higher Education",1.20970244477781,0.989499706133532,1.47458364499479,0.0612812240424605
"5000","Marital Conflict",1.14044041031643,1.0996719738966,1.18294182860242,1.67709951560588e-12
"5000","Community Patriarchy",1.11152636677008,1.08537836052624,1.13845009829202,3.82719021529856e-18
"5000","Communication Score",1.00650392230445,0.975392194849591,1.03862342492836,0.685720893679318
"5000","Distance to Services",1.00138097563595,0.996463902423143,1.00631043580639,0.582137939354576
"5000","Age (centred)",0.997083659106718,0.990211064135746,1.003998901593,0.407617378054522
"5000","Mental Health Score",0.990412124178976,0.955309755290192,1.02670673672673,0.600224343374907
"5000","Higher Wealth",0.984447998918797,0.852310512517428,1.13644893641205,0.83086100599405
"5000","Legal Implementation",0.94851032690339,0.913185298144365,0.985132050942984,0.00627628756393531
"5000","Decision-Making Power",0.935509715024844,0.908412226028164,0.963275053242353,8.30341861816189e-06
